Angle,Angle_1,LDR Value,LDR Value_1,,,,,,
1900-01-00,0.00,175,175,,,,,,
1900-01-01,1.00,174,174,,,,,,
1900-01-02,2.00,174,174,,,,,,
1900-01-03,3.00,174,174,,,,,,
1900-01-04,4.00,172,172,,,,,,
1900-01-05,5.00,173,173,,,,,,
1900-01-06,6.00,174,174,,,,,,
1900-01-07,7.00,175,175,,,,,,
1900-01-08,8.00,176,176,,,,,,
1900-01-09,9.00,176,176,,,,,,
1900-01-10,10.00,176,176,,,,,,
1900-01-11,11.00,177,177,,,,,,
1900-01-12,12.00,178,178,,,,,,
1900-01-13,13.00,178,178,,,,,,
1900-01-14,14.00,179,179,,,,,,
1900-01-15,15.00,179,179,,,,,,
1900-01-16,16.00,180,180,,,,,,
1900-01-17,17.00,181,181,,,,,,
1900-01-18,18.00,180,180,,,,,,
1900-01-19,19.00,179,179,,,,,,
1900-01-20,20.00,182,182,,,,,,
1900-01-21,21.00,182,182,,,,,,
1900-01-22,22.00,184,184,,,,,,
1900-01-23,23.00,185,185,,,,,,
1900-01-24,24.00,185,185,,,,,,
1900-01-25,25.00,187,187,,,,,,
1900-01-26,26.00,189,189,,,,,,
1900-01-27,27.00,191,191,,,,,,
1900-01-28,28.00,191,191,,,,,,
1900-01-29,29.00,195,195,,,,,,
1900-01-30,30.00,196,196,,,,,,
1900-01-31,31.00,199,199,,,,,,
1900-02-01,32.00,200,200,,,,,,
1900-02-02,33.00,203,203,,,,,,
1900-02-03,34.00,204,204,,,,,,
1900-02-04,35.00,207,207,,,,,,
1900-02-05,36.00,209,209,,,,,,
1900-02-06,37.00,211,211,,,,,,
1900-02-07,38.00,216,216,,,,,,
1900-02-08,39.00,217,217,,,,,,
1900-02-09,40.00,220,220,,,,,,
1900-02-10,41.00,223,223,,,,,,
1900-02-11,42.00,229,229,,,,,,
1900-02-12,43.00,232,232,,,,,,
1900-02-13,44.00,237,237,,,,,,
1900-02-14,45.00,242,242,,,,,,
1900-02-15,46.00,245,245,,,,,,
1900-02-16,47.00,248,248,,,,,,
1900-02-17,48.00,253,253,,,,,,
1900-02-18,49.00,258,258,,,,,,
1900-02-19,50.00,263,263,,,,,,
1900-02-20,51.00,268,268,,,,,,
1900-02-21,52.00,275,275,,,,,,
1900-02-22,53.00,281,281,,,,,,
1900-02-23,54.00,285,285,,,,,,
1900-02-24,55.00,294,294,,,,,,
1900-02-25,56.00,302,302,,,,,,
1900-02-26,57.00,309,309,,,,,,
1900-02-27,58.00,315,315,,,,,,
1900-02-28,59.00,324,324,,,,,,
1900-02-29,60.00,332,332,,,,,,
1900-03-01,61.00,343,343,,,,,,
1900-03-02,62.00,350,350,,,,,,
1900-03-03,63.00,359,359,,,,,,
1900-03-04,64.00,368,368,,,,,,
1900-03-05,65.00,379,379,,,,,,
1900-03-06,66.00,390,390,,,,,,
1900-03-07,67.00,401,401,,,,,,
1900-03-08,68.00,412,412,,,,,,
1900-03-09,69.00,424,424,,,,,,
1900-03-10,70.00,436,436,,,,,,
1900-03-11,71.00,448,448,,,,,,
1900-03-12,72.00,471,471,,,,,,
